portfolio_value,probability_convolution,probability_bruteforce,difference,cumulative_convolution,cumulative_bruteforce
105.00,0.000000067735,0.000000067735,0.000000000000e+00,0.000000067735,0.000000067735
150.35,0.000000040641,0.000000040641,0.000000000000e+00,0.000000108376,0.000000108376
160.24,0.000000013547,0.000000013547,0.000000000000e+00,0.000000121923,0.000000121923
163.58,0.000000040641,0.000000040641,0.000000000000e+00,0.000000162564,0.000000162564
166.20,0.000000135470,0.000000135470,0.000000000000e+00,0.000000298034,0.000000298034
166.29,0.000000055955,0.000000055955,0.000000000000e+00,0.000000353989,0.000000353989
168.34,0.000000135470,0.000000135470,0.000000000000e+00,0.000000489459,0.000000489459
170.54,0.000000162564,0.000000162564,0.000000000000e+00,0.000000652023,0.000000652023
172.16,0.000000162564,0.000000162564,0.000000000000e+00,0.000000814587,0.000000814587
173.23,0.000000717991,0.000000717991,0.000000000000e+00,0.000001532578,0.000001532578
174.32,0.000002506195,0.000002506195,0.000000000000e+00,0.000004038773,0.000004038773
175.02,0.000009848669,0.000009848669,0.000000000000e+00,0.000013887442,0.000013887442
175.72,0.000112494288,0.000112494288,0.000000000000e+00,0.000126381730,0.000126381730
176.28,0.000008317858,0.000008317858,0.000000000000e+00,0.000134699588,0.000134699588
176.52,0.000000044175,0.000000044175,0.000000000000e+00,0.000134743763,0.000134743763
176.70,0.000000514786,0.000000514786,0.000000000000e+00,0.000135258549,0.000135258549
177.11,0.000000189658,0.000000189658,0.000000000000e+00,0.000135448207,0.000135448207
177.53,0.000000067735,0.000000067735,0.000000000000e+00,0.000135515942,0.000135515942
177.84,0.000000013547,0.000000013547,0.000000000000e+00,0.000135529489,0.000135529489
178.14,0.000000040641,0.000000040641,0.000000000000e+00,0.000135570130,0.000135570130
179.98,0.000000061845,0.000000061845,0.000000000000e+00,0.000135631975,0.000135631975
182.69,0.000000106020,0.000000106020,0.000000000000e+00,0.000135737995,0.000135737995
184.21,0.000000139725,0.000000139725,0.000000000000e+00,0.000135877720,0.000135877720
184.89,0.000000238545,0.000000238545,0.000000000000e+00,0.000136116265,0.000136116265
187.17,0.000000591945,0.000000591945,0.000000000000e+00,0.000136708210,0.000136708210
188.84,0.000001640365,0.000001640365,0.000000000000e+00,0.000138348575,0.000138348575
189.95,0.000023518770,0.000023518770,0.000000000000e+00,0.000161867345,0.000161867345
191.08,0.000002659335,0.000002659335,0.000000000000e+00,0.000164526680,0.000164526680
191.80,0.000000318060,0.000000318060,0.000000000000e+00,0.000164844740,0.000164844740
192.53,0.000000067735,0.000000067735,0.000000000000e+00,0.000164912475,0.000164912475
193.11,0.000000038285,0.000000038285,0.000000000000e+00,0.000164950760,0.000164950760
193.53,0.000000017670,0.000000017670,0.000000000000e+00,0.000164968430,0.000164968430
193.96,0.000000011780,0.000000011780,0.000000000000e+00,0.000164980210,0.000164980210
194.39,0.000000005890,0.000000005890,0.000000000000e+00,0.000164986100,0.000164986100
194.71,0.000000002945,0.000000002945,0.000000000000e+00,0.000164989045,0.000164989045
194.89,0.000000798790,0.000000798790,0.000000000000e+00,0.000165787835,0.000165787835
195.02,0.000000002945,0.000000002945,0.000000000000e+00,0.000165790780,0.000165790780
198.51,0.000000110975,0.000000110975,0.000000000000e+00,0.000165901755,0.000165901755
201.33,0.000000023230,0.000000023230,0.000000000000e+00,0.000165924985,0.000165924985
203.64,0.000000004370,0.000000004370,0.000000000000e+00,0.000165929355,0.000165929355
206.01,0.000000001840,0.000000001840,0.000000000000e+00,0.000165931195,0.000165931195
207.75,0.000000000805,0.000000000805,0.000000000000e+00,0.000165932000,0.000165932000
208.91,0.000000000920,0.000000000920,0.000000000000e+00,0.000165932920,0.000165932920
210.09,0.000000000575,0.000000000575,0.000000000000e+00,0.000165933495,0.000165933495
210.84,0.000000000575,0.000000000575,0.000000000000e+00,0.000165934070,0.000165934070
211.60,0.000000000000,0.000000000000,0.000000000000e+00,0.000165934070,0.000165934070
211.64,0.000000033573,0.000000033573,0.000000000000e+00,0.000165967643,0.000165967643
212.20,0.000000000345,0.000000000345,0.000000000000e+00,0.000165967988,0.000165967988
212.65,0.000000000115,0.000000000115,0.000000000000e+00,0.000165968103,0.000165968103
