portfolio_value,probability,cumulative_probability
45.00,0.000500000000,0.000500000000
90.35,0.000300000000,0.000800000000
100.24,0.000100000000,0.000900000000
103.58,0.000300000000,0.001200000000
106.20,0.001000000000,0.002200000000
108.34,0.001000000000,0.003200000000
110.54,0.001200000000,0.004400000000
112.16,0.001200000000,0.005600000000
113.23,0.005300000000,0.010900000000
114.32,0.018500000000,0.029400000000
115.02,0.072700000000,0.102100000000
115.72,0.830400000000,0.932500000000
116.28,0.061400000000,0.993900000000
116.70,0.003800000000,0.997700000000
117.11,0.001400000000,0.999100000000
117.53,0.000500000000,0.999600000000
117.84,0.000100000000,0.999700000000
118.14,0.000300000000,1.000000000000
