state,probability,horizon_value,loss_vs_current
AAA,0.0001000000,125.023905,-11.980051
AA+,0.0001000000,124.707758,-11.663904
AA,0.0002000000,124.392769,-11.348915
AA-,0.0004000000,123.961542,-10.917688
A+,0.0006000000,123.532481,-10.488627
A,0.0013000000,123.105574,-10.061720
A-,0.0023000000,122.526875,-9.483020
BBB+,0.0108000000,121.799517,-8.755662
BBB,0.0903000000,121.078424,-8.034570
BBB-,0.7986000000,119.952454,-6.908599
BB+,0.0557000000,118.841684,-5.797829
BB,0.0201000000,117.167454,-4.123600
BB-,0.0081000000,114.894911,-1.851057
B+,0.0036000000,112.686417,0.357437
B,0.0021000000,109.979697,3.064157
B-,0.0015000000,106.517536,6.526318
CCC,0.0019000000,96.292307,16.751548
D,0.0023000000,35.000000,78.043854
