portfolio_value,probability,cumulative_probability
80.00,0.000001150000,0.000001150000
125.35,0.000000690000,0.000001840000
135.24,0.000000230000,0.000002070000
138.58,0.000000690000,0.000002760000
141.20,0.000002300000,0.000005060000
141.29,0.000000950000,0.000006010000
143.34,0.000002300000,0.000008310000
145.54,0.000002760000,0.000011070000
147.16,0.000002760000,0.000013830000
148.23,0.000012190000,0.000026020000
149.32,0.000042550000,0.000068570000
150.02,0.000167210000,0.000235780000
150.72,0.001909920000,0.002145700000
151.28,0.000141220000,0.002286920000
151.52,0.000000750000,0.002287670000
151.70,0.000008740000,0.002296410000
152.11,0.000003220000,0.002299630000
152.53,0.000001150000,0.002300780000
152.84,0.000000230000,0.002301010000
153.14,0.000000690000,0.002301700000
154.98,0.000001050000,0.002302750000
157.69,0.000001800000,0.002304550000
159.89,0.000004050000,0.002308600000
162.17,0.000010050000,0.002318650000
163.84,0.000027850000,0.002346500000
164.95,0.000399300000,0.002745800000
166.08,0.000045150000,0.002790950000
166.80,0.000005400000,0.002796350000
167.53,0.000001150000,0.002797500000
168.11,0.000000650000,0.002798150000
168.53,0.000000300000,0.002798450000
168.96,0.000000200000,0.002798650000
169.39,0.000000100000,0.002798750000
169.71,0.000000050000,0.002798800000
170.02,0.000000050000,0.002798850000
186.64,0.000000570000,0.002799420000
196.53,0.000000190000,0.002799610000
196.87,0.000000450000,0.002800060000
199.87,0.000000570000,0.002800630000
200.33,0.000000630000,0.002801260000
202.49,0.000001900000,0.002803160000
203.04,0.000001080000,0.002804240000
204.63,0.000001900000,0.002806140000
205.24,0.000002430000,0.002808570000
206.76,0.000000150000,0.002808720000
206.83,0.000002280000,0.002811000000
207.52,0.000006030000,0.002817030000
208.45,0.000002280000,0.002819310000
209.19,0.000016710000,0.002836020000
209.52,0.000010070000,0.002846090000
210.10,0.000000450000,0.002846540000
210.22,0.000000210000,0.002846750000
210.30,0.000239580000,0.003086330000
210.61,0.000035150000,0.003121480000
211.31,0.000138130000,0.003259610000
211.43,0.000027090000,0.003286700000
212.01,0.001577760000,0.004864460000
212.15,0.000003240000,0.004867700000
212.57,0.000116660000,0.004984360000
212.72,0.000001500000,0.004985860000
212.88,0.000000690000,0.004986550000
212.93,0.000000360000,0.004986910000
212.99,0.000007220000,0.004994130000
213.40,0.000002660000,0.004996790000
213.46,0.000000390000,0.004997180000
213.56,0.000000630000,0.004997810000
213.82,0.000000950000,0.004998760000
213.88,0.000000180000,0.004998940000
214.13,0.000000190000,0.004999130000
214.31,0.000000120000,0.004999250000
214.43,0.000000570000,0.004999820000
214.74,0.000000060000,0.004999880000
214.86,0.000001500000,0.005001380000
215.06,0.000000030000,0.005001410000
215.13,0.000000810000,0.005002220000
215.37,0.000000030000,0.005002250000
216.18,0.000002100000,0.005004350000
216.27,0.000001080000,0.005005430000
217.06,0.000001800000,0.005007230000
217.41,0.000002010000,0.005009240000
218.32,0.000002100000,0.005011340000
218.47,0.000002430000,0.005013770000
218.68,0.000001800000,0.005015570000
218.89,0.000003600000,0.005019170000
219.08,0.000005570000,0.005024740000
219.75,0.000007950000,0.005032690000
220.19,0.000079860000,0.005112550000
220.52,0.000002520000,0.005115070000
220.75,0.000006030000,0.005121100000
220.84,0.000027750000,0.005148850000
221.03,0.000003600000,0.005152450000
221.09,0.000008100000,0.005160550000
221.32,0.000009030000,0.005169580000
221.54,0.000109050000,0.005278630000
222.04,0.000001080000,0.005279710000
222.14,0.000002520000,0.005282230000
222.24,0.001245600000,0.006527830000
222.42,0.000016710000,0.006544540000
222.77,0.000000230000,0.006544770000
222.80,0.000092100000,0.006636870000
223.21,0.000011130000,0.006648000000
223.22,0.000005700000,0.006653700000
223.23,0.000012420000,0.006666120000
223.35,0.000000130000,0.006666250000
223.37,0.000020100000,0.006686350000
223.53,0.000239580000,0.006925930000
223.63,0.000002100000,0.006928030000
223.77,0.000000060000,0.006928090000
224.05,0.000000750000,0.006928840000
224.20,0.000000040000,0.006928880000
224.30,0.000038850000,0.006967730000
224.36,0.000000150000,0.006967880000
224.63,0.000000020000,0.006967900000
224.66,0.000027540000,0.006995440000
224.85,0.000004320000,0.006999760000
224.95,0.000000010000,0.006999770000
225.00,0.000152670000,0.007152440000
225.04,0.000055700000,0.007208140000
225.26,0.000000010000,0.007208150000
225.38,0.000003240000,0.007211390000
225.43,0.000009720000,0.007221110000
225.51,0.000020100000,0.007241210000
225.70,0.001743840000,0.008985050000
225.92,0.000019080000,0.009004130000
226.11,0.000000690000,0.009004820000
226.15,0.000798600000,0.009803420000
226.26,0.000128940000,0.009932360000
226.68,0.000007980000,0.009940340000
226.69,0.000000390000,0.009940730000
227.01,0.000066600000,0.010007330000
227.05,0.000009720000,0.010017050000
227.09,0.000002940000,0.010019990000
227.11,0.000000180000,0.010020170000
227.18,0.000055700000,0.010075870000
227.28,0.000090300000,0.010166170000
227.51,0.000001050000,0.010167220000
227.54,0.000000120000,0.010167340000
227.71,0.000285840000,0.010453180000
227.82,0.000000210000,0.010453390000
227.97,0.000000060000,0.010453450000
228.00,0.000010800000,0.010464250000
228.12,0.000043560000,0.010507810000
228.29,0.000798630000,0.011306440000
228.41,0.002989440000,0.014295880000
228.60,0.000000030000,0.014295910000
228.73,0.000002300000,0.014298210000
228.97,0.000221040000,0.014519250000
229.21,0.000149850000,0.014669100000
229.31,0.000001300000,0.014670400000
229.33,0.000024120000,0.014694520000
229.38,0.000066840000,0.014761360000
229.39,0.000013680000,0.014775040000
229.42,0.000090300000,0.014865340000
229.73,0.000000600000,0.014865940000
229.80,0.000005040000,0.014870980000
229.91,0.000588870000,0.015459850000
230.14,0.000010800000,0.015470650000
230.16,0.000000400000,0.015471050000
230.22,0.000001800000,0.015472850000
230.40,0.000106530000,0.015579380000
230.49,0.000958320000,0.016537700000
230.53,0.000000360000,0.016538060000
230.59,0.000000200000,0.016538260000
230.61,0.006726240000,0.023264500000
230.83,0.000001080000,0.023265580000
230.87,0.000002300000,0.023267880000
230.91,0.000000100000,0.023267980000
231.00,0.000066840000,0.023334820000
231.17,0.000497340000,0.023832160000
231.22,0.000000100000,0.023832260000
231.45,0.000001300000,0.023833560000
231.49,0.000371850000,0.024205410000
231.59,0.000030780000,0.024236190000
231.62,0.000108360000,0.024344550000
231.87,0.000000600000,0.024345150000
232.00,0.000011340000,0.024356490000
232.07,0.000295210000,0.024651700000
232.11,0.000958320000,0.025610020000
232.19,0.001461270000,0.027071290000
232.30,0.000000400000,0.027071690000
232.34,0.000012960000,0.027084650000
232.42,0.000004050000,0.027088700000
232.73,0.000001010000,0.027089710000
232.89,0.016691040000,0.043780750000
233.03,0.000002430000,0.043783180000
233.05,0.000000100000,0.043783280000
233.07,0.000002760000,0.043786040000
233.16,0.001030450000,0.044816490000
233.18,0.004232580000,0.049049070000
233.24,0.000108360000,0.049157430000
233.36,0.000000100000,0.049157530000
233.45,0.001234140000,0.050391670000
233.65,0.000001560000,0.050393230000
233.86,0.004049390000,0.054442620000
233.87,0.000076380000,0.054519000000
233.96,0.000012960000,0.054531960000
234.07,0.000000720000,0.054532680000
234.27,0.014774100000,0.069306780000
234.28,0.000028140000,0.069334920000
234.31,0.000478590000,0.069813510000
234.50,0.000000480000,0.069813990000
234.56,0.046253280000,0.116067270000
234.69,0.000002760000,0.116070030000
234.70,0.000010050000,0.116080080000
234.93,0.000000240000,0.116080320000
234.97,0.058058220000,0.174138540000
235.01,0.000002010000,0.174140550000
235.03,0.000057240000,0.174197790000
235.12,0.003419980000,0.177617770000
235.25,0.000000120000,0.177617890000
235.27,0.000001560000,0.177619450000
235.31,0.000006030000,0.177625480000
235.40,0.001670550000,0.179296030000
235.54,0.000211660000,0.179507690000
235.56,0.000000120000,0.179507810000
235.67,0.663157440000,0.842665250000
235.69,0.000000720000,0.842665970000
235.76,0.000012190000,0.842678160000
235.95,0.000077980000,0.842756140000
